"","st","log.inv.age1","log.inv.prec.age1"
"1","1",1.54424464943499,13.5386775969922
"2","10A",-2.66696127911868,4.7234797340354
"3","10C",-3.50212881038425,0.502162872336194
"4","10F",-3.9490345380927,0.613539058888894
"5","11A",-4.53810152139033,1.60073774167964
"6","11C",-3.35031829344091,0.467123435384281
"7","11D",-3.33025053167831,0.460435123650472
"8","11F",-3.37709838478309,0.487519502174874
"9","12A",-3.31478224665755,0.479146431437839
"10","12F",0.435017004186498,23.4224646096648
"11","13",-4.05628571646215,0.611701970439692
"12","14",-0.688181887338537,22.0029304580147
"13","15A",-2.94657680693849,5.69011387108051
"14","15B/C",-2.78669441944386,8.65474939272877
"15","15F",-4.14513790779974,0.62464904975373
"16","16A",-3.49218854468612,0.466864850107894
"17","16F",-2.21335039135417,7.46340155332807
"18","17A",-3.89287299854952,0.573521530072961
"19","17F",-3.19895914437137,3.10250138779075
"20","18A",-0.735581825131879,1.579972535811
"21","18B",-0.144459326943302,3.10627375107887
"22","18C",-0.418211671772869,13.4584035355737
"23","18F",-2.3749305855551,0.976832477683761
"24","19A",-1.23727538180037,43.1073341452124
"25","19C",-3.3121220180239,0.481983551864487
"26","19F",-1.99383167855318,14.6963778778999
"27","20",-2.52964846190326,1.03172947618028
"28","21",-3.02759892662814,2.95294099466039
"29","22A",-2.54630503808033,1.06904812528227
"30","22B",-3.23607578754424,0.449990012100731
"31","22F",-2.17170897239458,14.8038518672899
"32","23A",-4.18741786109396,1.55606462840334
"33","23B",-3.05710132431163,5.95464885928384
"34","23F",-1.75296922009059,14.6563494506442
"35","24B",-3.3907401405672,0.478312003700442
"36","24F",-3.40299668440098,0.467405233846854
"37","27",-0.768861580692957,1.25188960589379
"38","28",-3.47664833831819,0.511874962649467
"39","29",-3.37053090549949,0.483316104037204
"40","3",-1.4208839378886,14.5299789186782
"41","31",-3.44561595021482,2.20744405247697
"42","32F",-3.35734015186339,0.46605340240477
"43","33A",-3.67034085187659,0.543516050643827
"44","33F",-2.38832061002587,4.50348649569543
"45","34",-3.91514393877392,1.47567894164975
"46","35A",-4.5554270063751,0.739586126200925
"47","35B",-3.48987573864517,5.08589177349495
"48","35C",-3.58271317562466,0.512322581896216
"49","35F",-4.95511790138325,0.818107236646031
"50","36",-3.2870994116282,0.449015748165881
"51","37",-3.88077014180708,0.61068375778882
"52","38",-2.00493763369972,4.2781132803255
"53","39",-3.41010433011918,0.496406573335079
"54","4",-0.200264491258939,13.6780129358859
"55","43",-3.25232179742964,0.442860501112773
"56","46",-3.42604416413508,0.467313540501114
"57","5",0.936722661508512,4.23758042663721
"58","6A/C",-2.89346960189165,16.8259865535582
"59","6B",-1.37929829333312,26.4685258419158
"60","7A",-3.78822833338361,0.559256562511683
"61","7C",-3.72193295608099,1.39476106362777
"62","7F",0.772191610136986,23.5582887414092
"63","8",-1.45590813721095,4.02819793364128
"64","9A",-3.58387369334745,0.50402071374408
"65","9L",-2.41294569891065,1.72750468717563
"66","9N",-2.82339428046686,1.12261907476441
"67","9V",-0.955331014982132,14.8187304967994
"68","NT",-3.18482309111131,4.96086672745693
